Cyperaceae,Blysmus compressus,plattsäv,
Cyperaceae,Blysmus rufus,rödsäv,
Cyperaceae,Carex arenaria,sandstarr,
Cyperaceae,Carex glareosa,klapperstarr,
Cyperaceae,Carex viridula var. pulchella,liten ärtstarr,
Cyperaceae,Schoenoplectus maritimus,havssäv,
Cyperaceae,Schoenoplectus tabernaemontani,blåsäv,
Juncaceae,Juncus arcticus ssp. balticus,östersjötåg,
Juncaceae,Juncus capitatus,huvudtåg,
Juncaceae,Juncus gerardii ,salttåg,
Juncaceae,Juncus maritimus,strandtåg,
Poaceae,Agrostis capillaris,rödven,
Poaceae,Agrostis stolonifera,krypven,
Poaceae,Aira caryophyllea,vittåtel,
Poaceae,Aira praecox,vårtåtel,
Poaceae,Ammophila arenaria,sandrör,
Poaceae,Calamagrostis epigejos,bergrör,
Poaceae,Calamagrostis neglecta,madrör,
Poaceae,Corynephorus canescens,borsttåtel,
Poaceae,Deschampsia bottnica,gultåtel,RT
Poaceae,Deschampsia flexuosa,kruståtel,
Poaceae,Elytrigia juncea ssp. boreoatlantica,strandkvickrot,
Poaceae,Elytrigia repens,kvickrot,
Poaceae,Festuca rubra,rödsvingel,
Poaceae,Leymus arenarius,strandråg,
Poaceae,Milium effusum,hässlebrodd,
Poaceae,Molinia caerulea,blåtåtel,
Poaceae,Parapholis strigosa,ormax,
Poaceae,Phalaris arundinacea,rörflen,
Poaceae,Phleum arenarium,sandtimotej,
Poaceae,Phragmites australis,vass,
Poaceae,Poa pratensis ssp. alpigena,nordgröe,
Poaceae,Puccinellia capillaris+distans,saltgräs+grått saltgräs,
Poaceae,Puccinellia maritima,revigt saltgräs,
Poaceae,Roegneria canina,lundelm,
Poaceae,Schedonorus arundinaceus,rörsvingel,
